fundid,totpa,applycount,busicount,firfollow,hitcount,logoncount,stockcount,transfercount,transferamount,trdcount,trdamount
12025321,0,0,0,0,0,0,0,0,0,0,0
12024341,0,0,0,0,0,0,0,0,0,0,0
12024339,0,0,0,0,0,0,0,0,0,0,0
12024350,0,0,0,0,0,0,0,0,0,0,0
12024349,0,0,0,0,0,0,0,0,0,0,0
12024289,0,0,0,0,0,0,0,0,0,0,0
12024295,0,0,0,0,0,0,0,0,0,0,0
12018569,0,0,0,0,0,0,0,0,0,0,0
12024280,0,0,0,0,0,0,0,0,0,0,0
12018552,0,0,0,0,0,0,0,0,0,0,0
12024270,0,0,0,0,0,0,0,0,0,0,0
12024271,0,0,0,0,0,0,0,0,0,0,0
12024258,0,0,0,0,0,0,0,0,0,0,0
12018536,0,0,0,0,0,0,0,0,0,0,0
12024261,0,0,0,0,0,0,0,0,0,0,0
12018538,0,0,0,0,0,0,0,0,0,0,0
12018587,0,0,0,0,0,0,0,0,0,0,0
12018585,0,0,0,0,0,0,0,0,0,0,0
12017928,0,0,0,0,0,0,0,0,0,0,0
12017936,0,0,0,0,0,0,0,0,0,0,0
12017933,0,0,0,0,0,0,0,0,0,0,0
12017938,0,0,0,0,0,0,0,0,0,0,0
12017940,0,0,0,0,0,0,0,0,0,0,0
12017943,0,0,0,0,0,0,0,0,0,0,0
12017949,0,0,0,0,0,0,0,0,0,0,0
12017026,0,0,0,0,0,0,0,0,0,0,0
12017957,0,0,0,0,0,0,0,0,0,0,0
12019165,0,0,0,0,0,0,0,0,0,0,0
12019138,0,0,0,0,0,0,0,0,0,0,0
12019132,0,0,0,0,0,0,0,0,0,0,0
12018519,0,0,0,0,0,0,0,0,0,0,0
12019139,0,0,0,0,0,0,0,0,0,0,0
12019149,0,0,0,0,0,0,0,0,0,0,0
12019144,0,0,0,0,0,0,0,0,0,0,0
12017904,0,0,0,0,0,0,0,0,0,0,0
12018511,0,0,0,0,0,0,0,0,0,0,0
12019117,0,0,0,0,0,0,0,0,0,0,0
12023946,0,0,0,0,0,0,0,0,0,0,0
12023938,0,0,0,0,0,0,0,0,0,0,0
12023928,0,0,0,0,0,0,0,0,0,0,0
12023915,0,0,0,0,0,0,0,0,0,0,0
12017170,0,0,0,0,0,0,0,0,0,0,0
12023917,0,0,0,0,0,0,0,0,0,0,0
12017996,0,0,0,0,0,0,0,0,0,0,0
12017993,0,0,0,0,0,0,0,0,0,0,0
12017189,0,0,0,0,0,0,0,0,0,0,0
12017190,0,0,0,0,0,0,0,0,0,0,0
12017193,0,0,0,0,0,0,0,0,0,0,0
12017199,0,0,0,0,0,0,0,0,0,0,0
12017982,0,0,0,0,0,0,0,0,0,0,0
12024206,0,0,0,0,0,0,0,0,0,0,0
12024209,0,0,0,0,0,0,0,0,0,0,0
12024207,0,0,0,0,0,0,0,0,0,0,0
12024216,0,0,0,0,0,0,0,0,0,0,0
12024217,0,0,0,0,0,0,0,0,0,0,0
12024226,0,0,0,0,0,0,0,0,0,0,0
12018675,0,0,0,0,0,0,0,0,0,0,0
12018668,0,0,0,0,0,0,0,0,0,0,0
12025353,0,0,0,0,0,0,0,0,0,0,0
12025358,0,0,0,0,0,0,0,0,0,0,0
12024140,0,0,0,0,0,0,0,0,0,0,0
12018687,0,0,0,0,0,0,0,0,0,0,0
12024158,0,0,0,0,0,0,0,0,0,0,0
12018680,0,0,0,0,0,0,0,0,0,0,0
12024164,0,0,0,0,0,0,0,0,0,0,0
12024160,0,0,0,0,0,0,0,0,0,0,0
12019070,0,0,0,0,0,0,0,0,0,0,0
12019086,0,0,0,0,0,0,0,0,0,0,0
12017142,0,0,0,0,0,0,0,0,0,0,0
12019039,0,0,0,0,0,0,0,0,0,0,0
12017146,0,0,0,0,0,0,0,0,0,0,0
12017131,0,0,0,0,0,0,0,0,0,0,0
12019044,0,0,0,0,0,0,0,0,0,0,0
12017132,0,0,0,0,0,0,0,0,0,0,0
12017130,0,0,0,0,0,0,0,0,0,0,0
12017136,0,0,0,0,0,0,0,0,0,0,0
12019040,0,0,0,0,0,0,0,0,0,0,0
12018602,0,0,0,0,0,0,0,0,0,0,0
12019057,0,0,0,0,0,0,0,0,0,0,0
12017150,0,0,0,0,0,0,0,0,0,0,0
12019063,0,0,0,0,0,0,0,0,0,0,0
12023981,0,0,0,0,0,0,0,0,0,0,0
12023984,0,0,0,0,0,0,0,0,0,0,0
12017101,0,0,0,0,0,0,0,0,0,0,0
12017103,0,0,0,0,0,0,0,0,0,0,0
12018611,0,0,0,0,0,0,0,0,0,0,0
12018618,0,0,0,0,0,0,0,0,0,0,0
12018617,0,0,0,0,0,0,0,0,0,0,0
12019002,0,0,0,0,0,0,0,0,0,0,0
12018620,0,0,0,0,0,0,0,0,0,0,0
12017117,0,0,0,0,0,0,0,0,0,0,0
12023969,0,0,0,0,0,0,0,0,0,0,0
12023965,0,0,0,0,0,0,0,0,0,0,0
12019017,0,0,0,0,0,0,0,0,0,0,0
12017123,0,0,0,0,0,0,0,0,0,0,0
12019016,0,0,0,0,0,0,0,0,0,0,0
12018638,0,0,0,0,0,0,0,0,0,0,0
12017108,0,0,0,0,0,0,0,0,0,0,0
12018636,0,0,0,0,0,0,0,0,0,0,0
12023979,0,0,0,0,0,0,0,0,0,0,0
12018640,0,0,0,0,0,0,0,0,0,0,0
12017114,0,0,0,0,0,0,0,0,0,0,0
12023971,0,0,0,0,0,0,0,0,0,0,0
